Credit Amount,Creditability,Sex & Marital Status,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
2225,0,3,2,36,3,0,2225,1,5,4,1,4,4,57,1,3,2,3,1,2,1
4153,0,3,1,18,2,2,4153,1,3,2,2,3,3,42,3,2,1,3,1,1,1
3114,0,2,1,18,0,2,3114,1,2,1,1,4,2,26,3,1,1,3,1,1,1
2124,0,2,1,18,4,2,2124,1,3,4,1,4,1,24,3,1,2,3,1,1,1
1553,0,3,1,18,1,2,1553,1,3,4,1,3,3,44,1,2,1,3,1,1,1
2406,0,2,1,30,2,2,2406,1,4,4,1,4,1,23,3,1,1,3,1,1,1
1333,0,3,1,24,3,0,1333,1,1,4,1,2,1,43,3,3,2,3,2,1,1
7119,0,3,1,48,0,2,7119,1,3,3,1,4,4,53,3,3,2,3,2,1,1
4870,0,3,1,24,3,0,4870,1,3,3,1,4,4,53,3,3,2,3,2,1,1
691,0,3,1,12,4,0,691,1,5,4,1,3,2,35,3,2,2,3,1,1,1
4370,0,3,1,42,3,3,4370,1,4,3,1,2,2,26,1,2,2,3,2,2,1
2746,0,3,1,36,1,2,2746,1,5,4,1,4,3,31,1,2,1,3,1,1,1
4110,0,3,1,24,0,2,4110,1,5,3,1,4,4,23,1,1,2,3,2,1,1
2462,0,3,1,18,2,2,2462,1,3,2,1,2,3,22,3,2,1,3,1,1,1
1282,0,2,1,12,2,2,1282,1,3,2,1,4,3,20,3,1,1,3,1,1,1
2969,0,2,2,12,0,2,2969,1,2,4,1,3,2,25,3,1,2,3,1,1,1
4605,0,3,1,48,0,1,4605,1,5,3,1,4,4,24,3,3,2,3,2,1,1
6331,0,3,1,48,4,1,6331,1,5,4,1,4,4,46,3,3,2,3,1,2,1
3552,0,3,1,24,1,2,3552,1,4,3,1,4,3,27,1,2,1,3,1,1,1
697,0,3,1,12,1,0,697,1,2,4,1,2,3,46,1,2,2,3,1,2,1
1442,0,2,1,24,2,0,1442,1,4,4,1,4,3,23,3,1,2,3,1,1,1
5293,0,3,1,27,0,9,5293,1,1,2,1,4,2,50,3,2,2,3,1,2,1
3414,0,3,1,21,3,6,3414,1,2,2,1,1,2,26,2,2,2,3,1,1,1
2039,0,2,1,18,2,2,2039,1,3,1,1,4,1,20,3,1,1,3,1,1,1
3161,0,3,1,24,1,9,3161,1,3,4,1,2,2,31,1,1,1,3,1,2,1
902,0,4,1,12,2,8,902,1,4,4,1,4,2,21,3,1,1,3,1,1,1
10297,0,3,1,48,2,1,10297,1,4,4,1,4,4,39,3,3,3,3,2,2,1
14421,0,3,2,48,0,9,14421,1,3,2,1,2,3,25,2,2,1,3,1,2,1
1056,0,3,2,18,4,0,1056,1,5,3,3,3,1,30,3,2,2,3,1,1,1
1274,0,2,1,12,2,0,1274,1,2,3,1,1,1,37,1,2,1,2,1,1,1
1223,0,1,2,12,2,0,1223,1,5,1,1,1,1,46,3,1,2,3,1,1,1
1372,0,1,1,12,2,0,1372,1,4,2,1,3,3,36,3,2,1,3,1,1,1
2625,0,3,1,16,4,0,2625,1,5,2,3,4,2,43,3,1,1,3,1,2,2
2235,0,4,1,20,4,0,2235,1,3,4,3,2,2,33,1,1,2,3,1,1,2
959,0,2,2,9,2,2,959,1,3,1,1,2,3,29,1,2,1,3,1,1,1
884,0,3,2,18,4,0,884,1,5,4,1,4,3,36,3,2,1,3,2,2,1
1246,0,3,2,24,2,0,1246,1,2,4,1,2,1,23,1,2,1,2,1,1,1
8086,0,3,2,36,3,0,8086,2,5,2,1,4,3,42,2,2,4,4,1,2,1
10127,0,3,4,48,4,0,10127,3,3,2,1,2,4,44,3,3,1,3,1,1,1
888,0,3,2,12,2,0,888,1,5,4,1,4,3,41,1,2,1,2,2,1,1
719,0,3,4,12,2,6,719,1,5,4,1,4,3,41,1,2,1,2,2,1,1
12389,0,3,2,36,2,0,12389,5,3,1,1,4,4,37,1,3,1,3,1,2,1
709,0,3,1,12,2,3,709,1,5,4,1,4,1,57,3,2,1,2,1,1,1
6850,0,3,2,15,1,0,6850,2,1,1,1,2,2,34,2,2,1,4,2,2,1
2210,0,3,4,10,2,2,2210,1,3,2,1,2,1,25,3,1,1,2,1,1,1
7485,0,2,4,30,1,1,7485,5,1,4,1,1,1,53,1,2,1,4,1,2,1
1442,0,3,1,18,1,0,1442,1,4,4,1,4,4,32,1,3,2,2,2,1,1
797,0,2,4,12,4,3,797,5,5,4,1,3,2,33,3,2,1,2,2,1,1
4746,0,3,2,45,4,3,4746,1,2,4,1,2,2,24,1,2,2,2,1,1,1
939,0,4,3,12,4,0,939,3,4,4,1,2,1,28,3,2,3,3,1,2,1
1188,0,2,2,21,2,9,1188,1,5,2,1,4,2,39,3,2,1,3,2,1,1
11590,0,2,4,48,4,1,11590,2,3,2,1,4,3,24,3,1,2,2,1,1,1
609,0,2,3,12,1,9,609,1,2,4,1,1,1,26,1,2,1,1,1,1,1
1190,0,2,1,18,4,5,1190,1,1,2,1,4,4,55,3,3,3,1,2,1,1
2767,0,1,2,21,2,9,2767,2,5,4,1,2,3,61,3,1,2,2,1,1,1
3441,0,2,2,30,2,2,3441,2,3,2,2,4,3,21,1,1,1,3,1,1,1
4280,0,2,2,30,0,9,4280,2,3,4,1,4,3,26,3,1,2,2,1,1,1
3092,0,4,2,24,2,3,3092,2,2,3,1,2,3,22,3,1,1,3,1,2,1
6761,0,3,4,18,2,0,6761,5,3,2,1,4,3,68,2,1,2,3,1,1,1
1331,0,3,2,12,2,3,1331,1,2,2,1,1,3,22,3,2,1,3,1,1,1
15945,0,3,2,54,0,9,15945,1,2,3,1,4,4,58,3,1,1,3,1,2,1
3234,0,2,1,24,2,2,3234,1,2,4,1,4,1,23,3,1,1,2,1,2,1
802,0,3,2,15,2,3,802,1,5,4,1,3,3,37,3,2,1,3,2,1,1
9960,0,2,2,48,2,2,9960,1,2,1,1,2,3,26,1,2,1,3,1,2,1
8648,0,3,4,24,3,9,8648,1,2,2,1,2,3,27,1,2,2,3,1,2,1
1345,0,4,1,18,2,3,1345,1,3,4,1,3,1,26,3,2,1,3,1,1,1
1845,0,3,1,45,2,3,1845,1,3,4,1,4,4,23,3,3,1,3,1,2,1
1647,0,3,1,21,1,0,1647,5,3,4,1,2,2,40,1,2,2,2,2,1,1
4844,0,3,4,48,2,9,4844,1,1,3,1,2,3,33,3,1,1,4,1,2,1
8318,0,2,2,27,0,9,8318,1,5,2,1,4,4,42,2,3,2,4,1,2,1
2100,0,3,3,18,2,3,2100,1,3,4,2,2,1,37,3,2,1,3,1,1,1
11816,0,3,1,45,0,9,11816,1,5,2,1,4,3,29,3,1,2,3,1,1,1
448,0,2,1,6,2,6,448,1,2,4,1,4,2,23,3,2,1,3,1,1,1
11998,0,1,1,30,2,5,11998,1,2,1,1,1,4,34,1,2,1,2,1,2,1
18424,0,2,2,48,0,10,18424,1,3,1,1,2,2,32,1,2,1,4,1,2,2
14896,0,3,1,6,2,0,14896,1,5,1,1,4,4,68,1,2,1,4,1,2,1
2762,0,2,2,12,2,2,2762,5,5,1,1,2,2,25,3,2,1,3,1,2,1
3386,0,3,1,12,2,1,3386,1,5,3,1,4,4,35,3,3,1,3,1,2,1
2039,0,4,2,24,2,3,2039,1,2,1,1,1,2,22,3,2,1,3,1,2,1
2169,0,4,4,18,3,9,2169,1,3,4,1,2,3,28,3,2,1,3,1,2,1
5096,0,2,2,48,4,2,5096,1,3,2,1,3,3,30,3,2,1,4,1,2,1
1882,0,2,1,18,2,3,1882,1,3,4,1,4,3,25,1,1,2,3,1,1,1
6999,0,4,1,48,2,3,6999,1,4,1,3,1,1,34,3,2,2,3,1,2,1
2292,0,3,4,12,4,9,2292,1,1,4,1,2,3,42,2,2,2,4,1,2,1
8978,0,1,1,14,2,0,8978,1,5,1,1,4,2,45,3,2,1,4,1,2,2
674,0,4,1,12,2,3,674,2,4,4,1,1,2,20,3,2,1,3,1,1,1
976,0,2,1,18,2,0,976,1,2,1,1,2,3,23,3,2,1,2,1,1,1
2718,0,2,2,24,2,0,2718,1,3,3,1,4,2,20,3,1,1,2,1,2,1
750,0,2,1,18,2,6,750,1,1,4,1,1,1,27,3,2,1,1,1,1,1
12579,0,2,2,24,2,1,12579,1,5,4,1,2,4,44,3,3,1,4,1,2,1
7511,0,3,1,18,2,1,7511,5,5,1,1,4,2,51,3,3,1,3,2,2,1
3966,0,2,1,18,4,0,3966,1,5,1,1,4,1,33,1,1,3,3,1,2,1
6199,0,3,1,12,0,3,6199,1,3,4,1,2,2,28,3,1,2,3,1,2,1
1987,0,3,1,24,2,3,1987,1,3,2,1,4,1,21,3,1,1,2,2,1,1
2303,0,3,1,24,2,0,2303,1,5,4,2,1,1,45,3,2,1,3,1,1,1
12680,0,3,4,21,4,0,12680,5,5,4,1,4,4,30,3,3,1,4,1,2,1
6468,0,3,2,12,2,3,6468,5,1,2,1,1,4,52,3,2,1,4,1,2,1
6350,0,3,1,30,2,2,6350,5,5,4,1,4,2,31,3,2,1,3,1,1,1
